vehicle_id,timestamp,vehicle_image_path,plate_image_path,OCR_text
8,2025-10-28 05:47:20,,,KL53_EF2572
1,2025-10-28 05:47:25,,,KA33B7863
8,2025-10-28 05:47:24,,,KA53_E0572
15,2025-10-28 05:47:30,,,KA33B7863
15,2025-10-28 05:47:32,,,KL339B7863
18,2025-10-28 05:47:42,,,KA37_3242
19,2025-10-28 05:47:55,,,KA51AKE5935
23,2025-10-28 05:48:06,,,6AT1131
22,2025-10-28 05:48:06,,,L53_D626
23,2025-10-28 05:48:07,,,HR256AT1131
8,2025-10-28 05:48:26,,,KL53_EF2572
1,2025-10-28 05:48:32,,,KA33B7863
8,2025-10-28 05:48:31,,,KA53_E0572
16,2025-10-28 05:48:38,,,KA33B7863
16,2025-10-28 05:48:39,,,KL339B7863
17,2025-10-28 05:48:45,,,KA37_3242
8,2025-10-28 05:50:18,,,KL53_EF2572
1,2025-10-28 05:50:22,,,KA33B7863
8,2025-10-28 05:50:22,,,KA53_E0572
16,2025-10-28 05:50:28,,,KA33B7863
16,2025-10-28 05:50:30,,,KL339B7863
19,2025-10-28 05:50:37,,,KA37_3242
